kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"10530/83, Dec. 16.5.85, D.R.",0.0,147,2,4,79,107,8,0.34370893239974976
none,"110, p. 14, para.",0.0,1255,4,6,88,105,4,0.31998202204704285
none,"111, p. 23, para.",0.0,900,1,5,84,101,4,0.3037545382976532
none,"111, p. 23, para.",0.0,915,1,5,84,101,4,0.3037545382976532
none,"111, p. 25, para.",0.0,1432,7,9,466,483,4,0.30750909447669983
none,"11123/84, Dec. 9.12.87, D.R.",0.0,1298,4,6,173,201,8,0.3459571599960327
none,"11208/84, Dec. 4.3.86, D.R.",0.0,1244,7,13,300,327,8,0.35653528571128845
none,"12, p. 29, para.",0.0,1916,1,3,85,101,4,0.3073856830596924
none,"12, p. 29, para.",0.0,1919,1,3,85,101,4,0.3073856830596924
none,"12, p. 40, para.",0.0,7,3,5,276,292,4,0.3180710971355438
none,"121-A, p. 32-33, para.",0.0,1350,3,5,93,115,6,0.33332493901252747
none,"12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R.",0.0,20,1,3,85,137,11,0.32581427693367004
none,"12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R.",0.0,24,1,3,85,137,11,0.32581427693367004
none,"122, and the authorities cited there).",0.0,1683,2,3,357,395,6,0.44492432475090027
none,"12763/87,
Dec. 14.7.88, D.R.",0.0,1279,2,4,143,172,8,0.3358743190765381
none,"13) must be ""effective"" in practice as well as in law, in particular in the sense that its exercise must not be unjustifiably hindered by the acts or omissions of the authorities of the respondent State.",0.0,276,1,2,54,257,36,0.48175323009490967
none,"132, p. 24, para.",0.0,518,1,3,91,108,4,0.3057500720024109
none,"14116/88 and 14117/88, Sargin and Yagci v.
Turkey, Dec. 11.05.89, D.R.",0.0,99,5,7,126,197,16,0.2969130873680115
none,"14116/88 and 14117/88, Sargin and Yagci v.
Turkey, Dec. 11.05.89, D.R.",0.0,119,5,7,126,197,16,0.2969130873680115
none,"14451/88, Dec.
2.7.93, not published).",0.0,1334,4,5,196,235,8,0.5474924445152283
none,"145 B, p. 33, para.",0.0,261,1,5,130,149,5,0.29163119196891785
none,"145-B, p. 27, para.",0.0,1583,3,5,227,246,5,0.31933876872062683
none,"148, p. 18, para.",0.0,897,1,3,83,100,4,0.2935112714767456
none,15) in time of war or other public emergency.,0.0,336,2,3,258,303,9,0.5620138645172119
none,"15), the applicant contested the necessity of a measure permitting detention for as long as 30 days without any of the basic safeguards against abuse, which were deemed to be essential by the Convention organs",0.0,94,3,4,120,329,35,0.4192735552787781
none,"16.2.5.

and 16.6.2, pp.",0.0,1114,2,4,165,191,8,0.3529335558414459
none,"172, p. 13, para.",0.0,917,1,3,105,122,4,0.3070044219493866
none,"172, p.16, para.",0.0,457,4,6,220,236,4,0.31079867482185364
none,"172, p.16, para.",0.0,465,4,6,220,236,4,0.31079867482185364
none,"18, p. 13, para.",0.0,456,1,5,103,119,4,0.3028140962123871
none,"182, p. 15, para.",0.0,1583,1,5,111,128,4,0.3183085322380066
none,"19) of the Convention, its only task is to ensure the observance of the obligations undertaken by the.",0.0,171,1,3,171,273,18,0.3568291962146759
none,"19) of the Convention, to ensure the observance of the engagement undertaken by the States Parties under Article 1 (art.",0.0,1698,1,3,259,379,20,0.3419361114501953
none,"19369/92, Dec. 8.1.93, not published).",0.0,1364,3,4,160,198,8,0.5008015632629395
none,"198,
p. 12, para.",0.0,1307,2,4,77,95,4,0.2982114255428314
none,"1991, whereas the present application was lodged on 16 November 1992,
i.e.",0.0,1299,2,4,139,214,13,0.36579129099845886
none,"2 March 1987, Series A no.",0.0,1378,3,7,42,68,6,0.2555030584335327
none,2 of the Convention (art.,0.0,1898,1,3,248,273,5,0.2848212420940399
none,2 of the Criminal Code is different in character from.,0.0,1397,3,6,122,176,10,0.3051338195800781
none,2 of the Criminal Code.,0.0,533,1,2,161,184,5,0.3832530081272125
none,"2 of the Federal Constitution does not meet the requirements of the reservation, even if it applies.",0.0,1166,1,2,124,224,17,0.37989065051078796
none,2 of the Federal.,0.0,1389,1,5,37,54,4,0.33349770307540894
none,2 of the Federal.,0.0,1169,1,8,37,54,4,0.33349770307540894
none,2 of the Federal.,0.0,1173,1,5,37,54,4,0.33349770307540894
none,2) imposes a duty on States to adopt clear and.,0.0,1203,2,5,37,84,10,0.3737824261188507
none,"2) requires, in addition, that States.",0.0,1219,2,5,35,73,6,0.33408382534980774
none,"2.
of Article 8 (Art.",0.0,1322,1,6,64,86,5,0.2755681276321411
none,"20 March 1991, Series A no.",0.0,1358,2,6,60,87,6,0.255391001701355
none,"200, p. 18, para.",0.0,1257,3,5,73,90,4,0.31014132499694824
none,"200, p. 18, para.",0.0,1922,1,3,66,83,4,0.31014132499694824
none,"201, p. 32, para.",0.0,558,2,4,186,203,4,0.3052575886249542
none,"201, p. 32, para.",0.0,593,2,4,287,304,4,0.3052575886249542
none,"204, p. 25, para.",0.0,704,1,3,70,87,4,0.30824410915374756
none,"204, p. 26, para.",0.0,420,1,3,70,87,4,0.30488869547843933
none,"212-A, p. 14, para.",0.0,456,3,5,189,208,5,0.3229828178882599
none,"215, p. 39, para.",0.0,1683,1,3,339,356,4,0.3071838915348053
none,"216, p. 30, para.",0.0,1897,1,3,220,237,4,0.30966347455978394
none,"21608/93, Dec. 22.2.95,
not published).",0.0,1325,4,5,200,240,8,0.5243744850158691
none,"23 September 1994, Series A no.",0.0,1281,2,5,47,78,6,0.253938764333725
none,"236, p. 19, para.",0.0,50,2,4,302,319,4,0.29824209213256836
none,25-1) of the.,0.0,1357,2,6,53,66,4,0.29172879457473755
none,"25-1), and no new evidence in this connection was presented to the Court.",0.0,283,2,3,308,381,14,0.4568336606025696
none,"258-B, p. 57, para.",0.0,1676,1,3,91,110,5,0.3123956620693207
none,26) of the Convention,0.0,48,1,2,60,81,4,0.3206772208213806
none,26) of the Convention,0.0,149,1,2,32,53,4,0.3206772208213806
none,"26) of the Convention ""the Commission may.",0.0,1419,1,6,23,65,7,0.26504436135292053
none,"26) of the Convention and, consequently, the application cannot be rejected under Article 27 para.",0.0,53,1,4,136,234,16,0.36282700300216675
none,26) of the Convention is.,0.0,1243,2,10,111,136,5,0.2924714684486389
none,26) of the Convention.,0.0,40,1,2,99,121,4,0.36742886900901794
none,26) of the Convention.,0.0,104,2,5,114,136,4,0.36742886900901794
none,26) of the Convention.,0.0,125,3,4,98,120,4,0.36742886900901794
none,26) of the Convention.,0.0,1341,4,5,218,240,4,0.36742886900901794
none,26) of the Convention.,0.0,1425,3,4,142,164,4,0.36742886900901794
none,"26), the ""Commission may only deal.",0.0,1361,1,3,30,65,6,0.2728305459022522
none,"26), which ""dispenses States from answering before an international body for their acts before they have had an opportunity to put matters right through their own legal system""",0.0,1915,1,2,70,246,28,0.5005232691764832
none,"26, 27-3) of the Convention.",0.0,101,4,5,149,177,6,0.3532169461250305
none,"26, 27-3) of the Convention.",0.0,128,3,4,148,176,6,0.3532169461250305
none,"260-A, p. 22, para.",0.0,338,1,4,97,116,5,0.3276402950286865
none,"260-A, p. 22, para.",0.0,360,1,4,97,116,5,0.3276402950286865
none,"266-B, p. 35, para.",0.0,1744,3,5,221,240,5,0.3185722231864929
none,"266-B, p. 35, para.",0.0,1788,3,5,221,240,5,0.3185722231864929
none,"266-B, p. 35, para.",0.0,497,3,5,221,240,5,0.3185722231864929
none,"268-B, p. 45, para.",0.0,945,1,3,91,110,5,0.31814080476760864
none,"268-B, p. 45, para.",0.0,622,1,3,91,110,5,0.31814080476760864
none,"269, p. 17, para.",0.0,1618,6,9,246,263,4,0.3042176365852356
none,"27) and Helmers v. Sweden (judgment of 29 October 1991, Series A no.",0.0,456,2,5,120,188,13,0.3759378492832184
none,27-1-b) of the Convention.,0.0,1410,2,3,84,110,6,0.34234699606895447
none,27-1-b) of the Convention.,0.0,1473,5,6,204,230,6,0.34234699606895447
none,27-1-b) refers to inter-governmental institutions and.,0.0,1413,3,5,145,199,9,0.3845508396625519
none,27-2) of the Convention either.,0.0,139,3,4,259,290,6,0.3257471024990082
none,"27-2) of the Convention, and no other ground for declaring this part of the case inadmissible has been established.",0.0,41,2,3,119,234,20,0.49028652906417847
none,27-2) of the Convention.,0.0,133,3,4,139,163,5,0.37049826979637146
none,27-2) of the Convention.,0.0,134,2,3,143,167,5,0.37049826979637146
none,27-2) of the Convention.,0.0,185,2,3,111,135,5,0.37049826979637146
none,27-2) of the Convention.,0.0,186,2,3,138,162,5,0.37049826979637146
none,27-2) of the Convention.,0.0,1136,5,6,283,307,5,0.37049826979637146
none,27-2) of the Convention.,0.0,1138,3,4,186,210,5,0.37049826979637146
none,27-2) of the Convention.,0.0,1426,6,7,305,329,5,0.37049826979637146
none,27-2) of the.,0.0,129,7,9,392,405,4,0.29062598943710327
none,27-3) of the Convention.,0.0,1265,4,5,125,149,5,0.3639058768749237
none,27-3) of the Convention.,0.0,1356,6,7,225,249,5,0.3639058768749237
none,"28, p. 23, para.",0.0,1599,1,3,85,101,4,0.31013569235801697
none,285 on the state of emergency region transferred the power to carry out investigations into criminal acts allegedly committed by civil servants from the public prosecutors to the administrative councils (see paragraph 26 above).,0.0,226,1,2,23,251,34,0.3778880834579468
none,"288, p. 16, para.",0.0,218,4,6,560,577,4,0.30926600098609924
none,"290, p. 19, para.",0.0,551,1,5,81,98,4,0.31124675273895264
none,"297-C, p. 56, para.",0.0,551,3,5,189,208,5,0.31674835085868835
none,"299-A, p. 19, para.",0.0,589,2,4,194,213,5,0.3349168002605438
none,"299-B, p. 61, para.",0.0,598,4,6,212,231,5,0.3363149166107178
none,3 (d) of the Convention (art.,0.0,998,2,4,496,525,6,0.2823273837566376
none,"3, p. 56, para.",0.0,260,1,5,85,100,4,0.319553405046463
none,"3, p. 56, para.",0.0,265,1,5,85,100,4,0.319553405046463
none,"30 p. 96, at p. 102).",0.0,161,7,8,131,152,6,0.38428476452827454
none,"30 p. 96, at p. 102).",0.0,162,7,8,286,307,6,0.38428476452827454
none,"30 p. 96, at p. 102).",0.0,1213,8,9,134,155,6,0.38428476452827454
none,"30, p. 30, para.",0.0,1826,2,4,231,247,4,0.31293562054634094
none,"300-A, p. 25, para.",0.0,911,1,3,95,114,5,0.32736116647720337
none,"307-B, p. 55.",0.0,578,1,3,294,307,4,0.3711501359939575
none,"31, p. 21, para.",0.0,1278,6,8,251,267,4,0.3113586902618408
none,"328-A, p. 16, para.",0.0,213,1,3,87,106,5,0.32324492931365967
none,"33, p. 41 et seq., at p. 58).",0.0,1471,4,5,66,95,8,0.48177510499954224
none,"335-A, p. 15, para.",0.0,216,1,3,80,99,5,0.33436763286590576
none,"34 p. 78, and No.",0.0,1198,7,10,365,382,5,0.2854710519313812
none,"34, and p. 472, para.",0.0,993,2,4,227,248,5,0.34211301803588867
none,"35, p. 15, para.",0.0,161,4,8,73,89,4,0.3235088586807251
none,"35, p. 15, para.",0.0,162,4,8,228,244,4,0.3235088586807251
none,"35, p. 15, para.",0.0,1213,5,9,75,91,4,0.3235088586807251
none,"39, p. 26, para.",0.0,1950,1,3,69,85,4,0.3104782998561859
none,"39, p. 26, para.",0.0,1951,2,4,188,204,4,0.3104782998561859
none,"39, p. 27, para.",0.0,51,3,5,304,320,4,0.3082946240901947
none,4 of the Convention requires judicial rather than.,0.0,1379,3,6,157,207,8,0.37812426686286926
none,"40, p. 19, para.",0.0,1928,1,3,78,94,4,0.3173975944519043
none,41 p. 103; No.,0.0,1244,10,13,374,388,4,0.32130753993988037
none,"45, p. 21, para.",0.0,634,1,3,202,218,4,0.3221283257007599
none,"45, p. 21, para.",0.0,638,1,3,100,116,4,0.3221283257007599
none,"458/59, X v. Belgium, Dec.
29.3.60, Yearbook 3 pp.222, 236; No.",0.0,173,2,7,76,140,15,0.32639992237091064
none,46 p. 182; No.,0.0,1244,8,13,328,342,4,0.3195398151874542
none,"5) to arrest suspects for questioning, free from effective control by the domestic courts or by the Convention supervisory institutions, whenever they choose to assert that terrorism is involved (ibid., p. 23, para.",0.0,1600,1,3,105,320,33,0.43067875504493713
none,"5), the limited review carried out by the Administrative Court or the Constitutional Court was insufficient (see paragraph 26 above).",0.0,517,1,2,172,305,20,0.4146419167518616
none,"5), the limited review conducted by the Administrative Court or the Constitutional Court was insufficient (see paragraph 23 above).",0.0,1759,1,2,172,303,19,0.4237074851989746
none,"5), the review carried out by the Administrative Court or the Constitutional Court was insufficient (see paragraph 24 above).",0.0,1807,1,2,172,297,19,0.3986499011516571
none,5): by virtue of paragraph 2 (art.,0.0,1696,1,4,91,125,7,0.3145591616630554
none,"5, 6) of the Convention, the determination of which must be reserved for an examination on the merits.",0.0,1167,1,2,176,278,18,0.3473154604434967
none,5-1) and the interference in the private and family life of Mrs Murray (and her family).,0.0,1727,2,3,104,192,17,0.3432598114013672
none,"5-1) of the Convention provides, so far as relevant, as follows:

 ""1.",0.0,142,2,10,24,96,13,0.31698521971702576
none,"5-1), whilst at the same time informing the Court of the views of the Prosecutor-General, the authority which had ordered the applicant's detention on remand (see paragraph 11 above).",0.0,883,2,3,175,358,31,0.40271493792533875
none,"5-1-c) does not presuppose that the [investigating authorities] should have obtained sufficient evidence to bring charges, either at the point of arrest or while [the arrested person is] in custody.",0.0,1591,2,3,188,386,32,0.41875097155570984
none,5-1-c) have been fulfilled in the circumstances of the particular case.,0.0,1697,2,3,173,244,13,0.3862208127975464
none,5-1-c) is to further the criminal investigation by way of confirming or dispelling the concrete suspicion grounding the arrest.,0.0,1593,2,3,94,221,21,0.40995416045188904
none,"5-1-c) shall be brought promptly before a judge or other officer authorised by law to exercise judicial power """,0.0,259,5,6,528,639,20,0.408221036195755
none,"5-1-c) since ""the existence of such a purpose must be considered independently of its achievement"" (see the above-mentioned Brogan and Others judgment, pp.",0.0,1621,2,5,141,296,26,0.3816051781177521
none,"5-1-c), the Convention organs' supervisory powers are.",0.0,1432,3,9,217,271,9,0.32847854495048523
none,"5-1-e); and the Klaas v. Germany judgment of 22 September 1993, Series A no.",0.0,1618,5,9,169,245,16,0.36558055877685547
none,"5-2) is to enable the arrested person to assess the lawfulness of the arrest and take steps to challenge it, if need be.",0.0,1726,4,5,298,418,24,0.41417551040649414
none,"5-2) to such a low level that it is doubtful whether in fact it can, if it is adhered to in this form, have any possible concrete application in the future.",0.0,1710,2,3,75,231,32,0.5185813903808594
none,"5-3, 5-4):",0.0,5,1,2,118,128,4,0.33538296818733215
none,5-4) at any stage of the proceedings before the Convention institutions.,0.0,1680,2,3,83,155,12,0.3289787769317627
none,5-4) does not grant an.,0.0,1377,3,7,66,89,6,0.2985976040363312
none,5-4) presupposes the existence of a procedure in conformity with its requirements without the necessity of instituting separate legal proceedings in order to bring it about.,0.0,949,2,3,44,217,27,0.38751134276390076
none,5-4) presupposes the existence of a procedure in conformity with its requirements without the necessity of instituting separate legal proceedings in order to bring it about.,0.0,627,2,3,44,217,27,0.38751134276390076
none,5-4) requires an oral hearing in the context of an adversarial procedure involving legal representation and the possibility of calling and questioning witnesses.,0.0,947,2,3,288,449,24,0.45758169889450073
none,5-4) requires an oral hearing in the context of an adversarial procedure involving legal representation and the possibility of calling and questioning witnesses.,0.0,625,2,3,24,185,24,0.45758169889450073
none,"5-4) since the Parole Board,
save immediately after recall, is unable to order release, the ultimate.",0.0,1381,3,10,86,188,17,0.32167965173721313
none,"5-5) provides as follows:

 ""Everyone who has been the victim of arrest or detention in.",0.0,130,2,5,24,114,16,0.3388543426990509
none,5-6) without discrimination.,0.0,91,2,3,150,178,4,0.44535624980926514
none,"5258/71, X v. Sweden, Dec. 8.2.73,
Collection 43 pp.71, 77; No.",0.0,173,3,7,141,205,15,0.33583539724349976
none,"56, p. 21, para.",0.0,896,1,3,96,112,4,0.31333309412002563
none,"58, p. 17, para.",0.0,1775,4,9,211,227,4,0.31231340765953064
none,"58, p. 17, para.",0.0,1819,4,9,211,227,4,0.31231340765953064
none,"5964/72, Dec. 29.9.75, D.R.",0.0,1243,8,10,365,392,8,0.33853790163993835
none,"5964/72, Dec. 29.9.75, D.R.",0.0,1244,11,13,389,416,8,0.33853790163993835
none,"6) of the Convention provides, so far as relevant, as follows:

 ""1.",0.0,138,3,12,84,154,12,0.3273189961910248
none,"6-1) does not in itself guarantee any particular content for (civil) 'rights and obligations' in the substantive law of the Contracting States""",0.0,458,2,3,26,169,23,0.37533992528915405
none,"6-1) embodies the 'right to a court', of which the right of access, that is the right to institute proceedings before courts in civil matters, constitutes one aspect only"" (loc.",0.0,394,1,4,30,207,31,0.3715783953666687
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0.0,1754,2,3,84,272,34,0.46496108174324036
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0.0,1802,2,3,84,272,34,0.46496108174324036
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0.0,868,2,3,84,272,34,0.46496108174324036
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0.0,514,2,3,84,272,34,0.46496108174324036
none,6-1) to apply to the proceedings in question it must.,0.0,1351,3,7,151,204,11,0.3694075644016266
none,6-1) would in practice unduly hamper the effective regulation in the public interest of complex financial and commercial activities.,0.0,392,2,3,50,182,20,0.7450196146965027
none,"6-1), or that its result was directly decisive for that right.",0.0,389,2,3,164,226,12,0.4071469306945801
none,6-1+6-3-d)).,0.0,998,3,4,526,538,4,0.37025436758995056
none,"6-1, 6-2) of the Convention in respect of the earlier risk of criminal prosecution were not infringed.",0.0,1104,2,3,116,218,19,0.4162246584892273
none,"6-1, 6-2,

8) of the Convention and Article 1 of Protocol No.",0.0,1136,2,6,118,181,14,0.2959691882133484
none,6-2) of the Convention requires public officials to refrain from declaring or pronouncing that an individual.,0.0,1144,2,6,33,142,17,0.44955897331237793
none,"6-2) provides that anyone ""charged with a criminal offence shall be presumed innocent until proved guilty according to law"".",0.0,1092,2,3,24,148,20,0.45856916904449463
none,"6-2, 6-3)are specific aspects of the right to a fair trial set.",0.0,1254,3,7,75,138,14,0.42590904235839844
none,"61 p. 250, 262).",0.0,99,6,7,198,214,4,0.4447173476219177
none,"61 p. 250, 262).",0.0,119,6,7,198,214,4,0.4447173476219177
none,64) (Series A no.,0.0,1744,2,5,203,220,4,0.35302969813346863
none,64) (Series A no.,0.0,1788,2,5,203,220,4,0.35302969813346863
none,64) (Series A no.,0.0,497,2,5,203,220,4,0.35302969813346863
none,64) applied in the present case are covered by that reservation.,0.0,498,2,3,76,140,11,0.4097750782966614
none,64) in the present case are covered by that reservation.,0.0,1745,2,3,84,140,10,0.455992728471756
none,64) in the present case are covered by that reservation.,0.0,1783,2,3,84,140,10,0.455992728471756
none,64) in the present case are covered by that reservation.,0.0,853,2,3,84,140,10,0.455992728471756
none,64) of the Convention,0.0,520,1,2,117,138,4,0.3565748929977417
none,"64) of the Convention, which provides:",0.0,1739,1,2,78,116,6,0.3958095610141754
none,"64) of the Convention, which provides:",0.0,1782,1,2,78,116,6,0.3958095610141754
none,"64) of the Convention, which provides:",0.0,848,1,2,78,116,6,0.3958095610141754
none,"64) of the Convention, which provides:",0.0,492,1,2,78,116,6,0.3958095610141754
none,"64) shall contain a brief statement of the law concerned.""",0.0,1742,1,2,46,104,10,0.3672565817832947
none,"64) shall contain a brief statement of the law concerned.""",0.0,1786,1,2,46,104,10,0.3672565817832947
none,"64) shall contain a brief statement of the law concerned.""",0.0,851,1,2,46,104,10,0.3672565817832947
none,"64) shall contain a brief statement of the law concerned.""",0.0,495,1,2,46,104,10,0.3672565817832947
none,7 (P7) to the.,0.0,1405,5,10,248,262,4,0.284981906414032
none,"7 (P7),
the determination of which must be reserved to an examination of the.",0.0,1405,8,10,399,477,14,0.3061145842075348
none,"7 (P7-3, P7-4).",0.0,522,1,2,141,156,5,0.3959701955318451
none,7 (P7-4) is to prohibit the repetition of criminal proceedings that have been concluded by a final decision.,0.0,525,1,2,82,190,19,0.44225218892097473
none,7 (P7-4) proscribes proceedings.,0.0,1396,2,6,53,85,5,0.34820085763931274
none,7 September 1992 Bulgaria ratified the Convention and recognised the.,0.0,1415,1,5,65,134,10,0.3213391900062561
none,7 entered into force on 1 November 1988.,0.0,1393,3,4,232,272,8,0.40746378898620605
none,7 entered into force on 1 November 1988.,0.0,1403,3,4,232,272,8,0.40746378898620605
none,7) of the Convention was designed to prevent.,0.0,349,1,2,126,171,8,0.34962213039398193
none,"7, the Government submit first that the.",0.0,1394,2,6,77,117,7,0.24223321676254272
none,7-1) of the Convention.,0.0,1461,4,5,108,131,5,0.3529263734817505
none,"71) the Court found that an actual threat against the witnesses was not required for the decision to maintain their anonymity to be reasonable, and that previous experience might be relevant.",0.0,1042,3,4,54,245,31,0.48957186937332153
none,"71, where a reasonableness test was applied).",0.0,1041,1,2,244,289,7,0.41351833939552307
none,"72), a ""pro victima"" approach in favour of admissibility in order to allow the Convention institutions to consider the alleged complaints.",0.0,1951,3,4,205,343,21,0.41586077213287354
none,73 of the Social Services Act the third and the fourth applicant had.,0.0,1311,2,5,85,154,13,0.3382599353790283
none,75 S.Ct.11):,0.0,1501,1,2,134,146,4,0.3804100751876831
none,"76, in conjunction with pp.",0.0,1037,4,7,504,531,5,0.2999696731567383
none,"77, p.
18, para.",0.0,99,3,7,95,112,4,0.3137589395046234
none,"77, p.
18, para.",0.0,119,3,7,95,112,4,0.3137589395046234
none,"7987/77, Dec. 13.12.79, D.R.",0.0,1348,9,12,455,483,8,0.33168748021125793
none,"7987/77, X v. Austria, Dec. 13.12.79, D.R.",0.0,173,4,7,206,248,11,0.3149695098400116
none,8) (see paragraphs 83 to 95 above).,0.0,1686,2,3,197,232,7,0.5510599613189697
none,8) do not lend themselves to precise definition.,0.0,555,1,2,105,153,8,0.39073991775512695
none,8) may include at least the ties between near relatives.,0.0,1278,2,8,82,138,10,0.3972771465778351
none,"8) of the Convention which provides:

 ""1.",0.0,168,1,12,28,72,7,0.28473323583602905
none,"8) of the Convention, cannot find any.",0.0,1342,2,5,91,129,8,0.29541078209877014
none,"8) of the Convention, which provides: 
""1.",0.0,539,1,4,29,72,7,0.3023947477340698
none,8-1) of the Convention.,0.0,1152,2,3,226,249,5,0.363357275724411
none,8-2) for the State to take effective measures for the prevention of terrorist crimes,0.0,1658,2,3,224,308,15,0.47272220253944397
none,8-2) of the Convention.,0.0,1122,3,4,267,290,5,0.3707908093929291
